"tankID","X205A_origin","Basket","fishID","witroxChannel","respirometryChamber","witroxFileName","controlChamber","Date","mass_g","OBS","tempCelsius","tempKelvin","boltzmannK","invKT","lnMass_g","color","shape","timeDays","tankN","ch","respRate_mlO2_h","respRate_mgO2_h","respRate_gC_d","respRate_j_d","lnRespRate_j_d"
"26_3","",3,"26_3_3","1N",1,"26_C_new_witrox_1.txt","Control_26_1",2018-05-23,0.0684,"",26,299.15,8.62e-05,-0.0797122156768461,-2.68238245435363,"dodgerblue2",22,41,"3","channel_1",0.0481873828296022,0.0688597700635016,0.000619737930571514,24.169779292289,3.18510306320035
"26_1","",4,"26_1_4","2N",2,"26_C_new_witrox_1.txt","Control_26_1",2018-05-23,0.0935,"",26,299.15,8.62e-05,-0.0797122156768461,-2.3697938426875,"dodgerblue2",22,41,"1","channel_2",0.0818333699343516,0.116939885636188,0.0010524589707257,41.0458998583022,3.71469094926078
"26_4","",5,"26_4_5","3N",3,"26_C_new_witrox_1.txt","Control_26_1",2018-05-23,0.0506,"",26,299.15,8.62e-05,-0.0797122156768461,-2.98380370268872,"dodgerblue2",22,41,"4","channel_3",0.0372098826510022,0.0531729223082821,0.000478556300774539,18.663695730207,2.92658023208983
"26_1","",1,"26_1_1","4N",4,"26_C_new_witrox_1.txt","Control_26_1",2018-05-23,0.0547,"",26,299.15,8.62e-05,-0.0797122156768461,-2.9058915695542,"dodgerblue2",22,41,"1","channel_4",0.0460831950011027,0.0658528856565757,0.000592675970909181,23.1143628654581,3.1404541933769
"26_4","",2,"26_4_2","1N",9,"26_C_new_witrox_2.txt","Control_26_1",2018-05-23,0.0824,"",26,299.15,8.62e-05,-0.0797122156768461,-2.49616984206671,"dodgerblue2",22,41,"4","channel_1",0.0682330090073405,0.0975049698714896,0.000877544728843407,34.2242444248929,3.53293429422937
"26_2","",4,"26_2_4","2N",10,"26_C_new_witrox_2.txt","Control_26_1",2018-05-23,0.0742,"",26,299.15,8.62e-05,-0.0797122156768461,-2.6009911288088,"dodgerblue2",22,41,"2","channel_2",0.0515804246171462,0.0737084267779019,0.000663375841001117,25.8716577990436,3.25314807605601
"26_3","",5,"26_3_5","3N",11,"26_C_new_witrox_2.txt","Control_26_1",2018-05-23,0.0746,"",26,299.15,8.62e-05,-0.0797122156768461,-2.59561477177242,"dodgerblue2",22,41,"3","channel_3",0.0615483867455969,0.087952644659458,0.000791573801935122,30.8713782754697,3.42982948524883
"26_1","",2,"26_1_2","4N",12,"26_C_new_witrox_2.txt","Control_26_1",2018-05-23,0.0872,"",26,299.15,8.62e-05,-0.0797122156768461,-2.4395509480672,"dodgerblue2",22,41,"1","channel_4",0.0598940179876856,0.0855885517044027,0.000770296965339624,30.0415816482454,3.4025824769162
"26_1","",3,"26_1_3","1N",9,"26_C_new_witrox_3.txt","Control_26_3",2018-05-23,0.0372,"",26,299.15,8.62e-05,-0.0797122156768461,-3.29144651770304,"dodgerblue2",22,41,"1","channel_1",0.0357587045826027,0.0510991888485393,0.000459892699636854,17.9358152858373,2.8867995677619
"26_2","",5,"26_2_5","2N",10,"26_C_new_witrox_3.txt","Control_26_3",2018-05-23,0.0905,"",26,299.15,8.62e-05,-0.0797122156768461,-2.40240542827626,"dodgerblue2",22,41,"2","channel_2",0.0484491161496744,0.0692337869778848,0.000623104082800963,24.3010592292375,3.19051993907706
"26_3","",2,"26_3_2","3N",11,"26_C_new_witrox_3.txt","Control_26_3",2018-05-23,0.1232,"",26,299.15,8.62e-05,-0.0797122156768461,-2.09394622788272,"dodgerblue2",22,41,"3","channel_3",0.0477238231037985,0.0681973432153281,0.000613776088937953,23.9372674685802,3.17543655278737
"26_2","",1,"26_2_1","4N",12,"26_C_new_witrox_3.txt","Control_26_3",2018-05-23,0.0694,"",26,299.15,8.62e-05,-0.0797122156768461,-2.66786841146938,"dodgerblue2",22,41,"2","channel_4",0.0656797580177946,0.0938563742074285,0.000844707367866856,32.9435873468074,3.49479662430871
"32_1","",1,"32_1_1","1N",1,"32_C_new_witrox_1.txt","Control_32_1",2018-05-23,0.0745,"",32,305.15,8.62e-05,0.682790865741871,-2.59695615359662,"purple",24,41,"1","channel_1",0.0609497580641465,0.0870972042736653,0.000783874838462988,30.5711187000565,3.42005572993571
